codigo_depto;codigo_provincia;departamento;municipio;codigo;anno;pob_total;formal_rate;vacancy_rate;ruralidad;t_crea;altura;areakm2;gandina;gcaribe;gpacifica;gorinoquia;gamazonia;pruralpet;pmujerpet;pdependiente;salario_bas;pregimen_subsidiado;regimen_subsidiado;promleccri;prommatema;promglobal;vab;va_actividad_primaria;va_actividad_secundaria;va_actividad_terciaria;vabpc;pprimary;psecondary;pterciary;distancia_mercado;disbogota;dismdo;pgroup1;pgroup2;pgroup3;pgroup4;pgroup5;pgroup6;num_obser_freq;num_obser_freq_adj;informales_freq;informales_freq_adj;ocupados_freq;ocupados_freq_adj;informalidad;informalidad_adj;informalidad_adj_var;fharcsin_est;Low;Up;fh_benchmark;MERF_resultados;lisa_clusters;lisa_clusters_nombres
8;859;Atlántico;Usiacurí;8849;2011;10851;1.534420791;;6.911805364;155;110.0;103;0;1;0;0;0;9.245063879;47.44483159;80.35456904;778567.2083;61.29388996;6651.0;40.65346535;39.4950495;200.8712871;36.41219308;2.959100905;2.165720594;31.28737158;0.335565322;8.126675861;5.947789492;85.92553465;32.72714996;708.1900024;32.72714996;17.61648746;38.85304659;15.41218638;17.35913489;39.29045722;15.04458357;371.0;36848.0;152.0;14768.0;181.0;17136.0;83.97790055;86.18113912;0.063838169;85.99395132;82.18717178;89.2571644;65.3505257;82.87421162;0.0;
8;859;Atlántico;Usiacurí;8849;2016;11713;2.023392811;0.119525314;7.094681124;160;110.0;103;0;1;0;0;0;9.57558018;47.58519757;73.8762215;749760.2917;52.65090071;6167.0;48.55555556;46.7962963;236.1666667;62.64451929;8.556133714;5.509819543;48.57856603;0.534828987;13.6582319;8.795373651;77.54639445;32.72714996;708.1900024;32.72714996;16.68055324;40.02666222;17.83036161;16.98179272;40.0035014;16.94677871;412.0;543724.0;165.0;19909.0;203.0;24306.0;81.28078;81.90981;0.067805749;81.33505238;77.50625659;84.8401662;62.9285898;79.98605976;0.0;
8;859;Atlántico;Usiacurí;8849;2021;13266;2.566083723;0.105532941;6.701341776;165;110.0;103;0;1;0;0;0;8.980185421;47.60043628;70.3787965;905965.75;49.21604101;6529.0;45.12963104;42.94444275;211.4907379;97.90202611;18.11545246;4.53910299;75.24747066;0.737992056;18.5036543;4.636372883;76.85997282;32.72714996;708.1900024;32.72714996;15.86602027;40.78154841;19.75907154;16.34928007;40.43969655;19.07416009;369.0;670071.0;186.0;324813.0;212.0;367037.0;87.73585;88.49598;0.049918564;87.86959843;84.382773;90.8346739;87.7354891;84.74878366;0.0;
11;1115;Bogotá, D.C.;Bogotá, D.C.;11001;2011;7152656;31.9844626;;0.275995378;473;2600.0;1605;1;0;0;0;0;0.350062697;52.67586063;61.81633375;543750.8333;18.23619086;1304372.0;49.70462281;49.55524908;235.4601035;135864.3393;340.9171959;24737.17479;110786.2473;1.899494947;0.250924707;18.20726095;81.54181434;0.0;0.0;0.0;19.24919087;42.86065206;12.50192684;17.64971317;44.70033178;15.20770036;37084.0;7455661.0;10032.0;1993634.0;19187.0;3864340.0;52.28540157;51.59054328;0.001441946;51.58758581;51.10931141;52.1066133;39.2036393;52.70787604;2.0;LL
11;1115;Bogotá, D.C.;Bogotá, D.C.;11001;2016;7300918;42.42660991;11.06945729;0.320165218;478;2600.0;1605;1;0;0;0;0;0.415145601;52.6804851;54.64685049;702848.6667;15.98186694;1166823.0;56.01390901;55.67849536;280.2772429;199661.4502;384.139914;31963.07463;167314.2356;2.734744455;0.192395635;16.00863592;83.79896845;0.0;0.0;0.0;18.91687543;44.15522445;15.21096896;17.29084287;44.93816402;18.63853895;34027.0;95600000.0;7742.0;1792580.0;18078.0;4192787.0;42.82553;42.7539;0.001325255;42.74750332;42.23338783;43.2399909;33.0735645;43.92056915;2.0;LL
11;1115;Bogotá, D.C.;Bogotá, D.C.;11001;2021;7823334;43.20427305;9.077165822;0.376629708;483;2600.0;1605;1;0;0;0;0;0.492417569;52.57637259;52.54187044;932920.0833;18.25205213;1427919.0;56.61319351;54.47967148;269.8632813;267782.2551;346.3811192;32074.10471;235361.7693;3.422866199;0.129351782;11.97768116;87.89296706;0.0;0.0;0.0;16.17887186;46.66405466;17.48059808;14.81555437;46.08501327;21.70909644;29028.0;102000000.0;5589.0;18400000.0;13453.0;44567884.0;41.54464;41.2139;0.001938196;41.20711013;40.69700882;41.8352021;41.1442185;42.27863639;2.0;LL
13;1331;Bolívar;Cartagena de Indias;13001;2011;902797;20.47215487;;8.886715397;412;1.0;559;0;1;0;0;0;12.16155073;50.73662894;77.25277866;534183.3333;45.43956172;410227.0;44.06687441;44.63740349;215.4725972;11650.60684;21.89434599;4622.359264;7006.353229;1.29050128;0.187924511;39.67483692;60.13723857;0.0;679.0010986;99.48111725;18.80262099;38.82904185;12.38569879;18.18080544;40.35772894;14.41691768;31675.0;982058.0;8358.0;261528.0;12742.0;395451.0;65.59409826;66.13411017;0.002257964;66.13034369;65.59476503;66.6514439;50.2553105;66.82894273;0.0;
13;1331;Bolívar;Cartagena de Indias;13001;2016;945316;26.7612629;2.322292228;9.599012394;417;1.0;559;0;1;0;0;0;12.9819097;50.2584605;74.27533145;685791.6667;53.36035781;504424.0;51.83676309;49.19194434;251.7843281;18284.79174;19.22451949;6919.884944;11345.68227;1.934251799;0.105139395;37.84503014;62.04983046;0.0;679.0010986;99.48111725;18.46235892;39.09818134;14.06863225;17.50197053;40.44670732;16.58060838;28768.0;12300000.0;7403.0;270082.0;12431.0;441142.0;59.55273;61.22337;0.002012663;61.21949696;60.64951318;61.8154382;47.3652687;61.84318975;0.0;
13;1331;Bolívar;Cartagena de Indias;13001;2021;1032133;25.03393458;2.518086332;11.22442553;422;1.0;559;0;1;0;0;0;15.14545006;50.25818185;66.81662397;910335.0833;57.52543519;593739.0;50.45306396;46.71763992;233.97612;24558.61747;33.77759838;8711.210687;15813.62919;2.379404347;0.13753868;35.47109562;64.3913657;0.0;679.0010986;99.48111725;18.02836791;40.94759521;15.41426362;16.73501277;41.80725279;18.79623642;28159.0;12800000.0;7165.0;3170917.0;11671.0;5131936.0;61.39148;61.78793;0.002180813;61.78932192;61.16347763;62.3935008;61.6950171;62.8171663;0.0;
13;1351;Bolívar;Achí;13006;2011;21588;4.027314557;;77.36242357;77;24.0;1025;0;1;0;0;0;82.32403527;37.67885533;97.26610905;923008.4583;110.3529739;23823.0;37.91153846;40.38846154;195.3307692;120.7470245;26.77987301;14.7251117;79.24203982;0.559324738;22.17849517;12.19500999;65.62649484;132.0807343;466.6584473;220.1837158;18.00229216;35.07008728;14.56404831;18.26256711;35.35383114;12.58174719;;;;;;;;;;95.40311366;94.51769784;96.3449088;72.5009554;92.59559825;1.0;HH
