codigo,informalidad_2005
18860,95.34883880615234
19001,71.54647064208984
19022,97.79071807861328
19050,100.0
19075,97.53933715820312
19100,96.66858673095703
19110,96.42389678955078
19130,96.56546020507812
19137,97.49417114257812
19142,86.44934844970703
19212,82.17948913574219
19256,97.70683288574219
19290,95.02397918701172
19318,84.19172668457031
19355,94.57056427001953
19364,98.36700439453125
19392,97.07563018798828
19397,98.53036499023438
19418,91.73680114746094
19450,97.49346923828125
19455,73.22066497802734
19473,97.88140869140625
19513,84.99044036865234
19517,95.57195281982422
19532,87.0625228881836
19533,94.66291809082031
19548,94.08651733398438
19573,65.45840454101562
19585,95.16919708251953
19622,96.81689453125
19693,96.86112213134766
19698,79.70897674560547
19701,95.08856964111328
19743,96.4565200805664
19760,97.3423843383789
19780,97.54206848144531
19785,97.72036743164062
19807,93.47978210449219
19809,93.80723571777344
19821,97.93497467041016
19824,97.21434020996094
19845,80.91753387451172
20001,86.37770080566406
20011,94.77495574951172
20013,92.7362289428711
20032,96.33905029296875
20045,83.93560028076172
20060,93.52517700195312
20175,98.22087097167969
20178,92.84130096435547
20228,95.86723327636719
20238,87.96920013427734
20250,93.46440124511719
20295,95.7102279663086
20310,95.48361206054688
20383,94.5382308959961
20400,87.18980407714844
20443,94.14129638671875
20517,96.60657501220703
20550,94.53924560546875
20570,97.83648681640625
20614,93.48826599121094
20621,94.0757827758789
20710,81.69912719726562
20750,96.59820556640625
20770,94.32609558105469
20787,95.26337432861328
23001,83.05158233642578
23068,96.46236419677734
23079,94.61137390136719
23090,98.0313491821289
23162,89.08908081054688
23168,94.07373046875
23182,95.28746795654297
23189,93.0658187866211
23300,94.83058166503906
23350,97.05882263183594
23417,91.02839660644531
23419,98.3978271484375
23464,93.09403228759766
23466,92.24485778808594
23500,96.57701873779297
23555,93.9593734741211
23570,96.67034149169922
23574,97.9858169555664
23580,99.19447326660156
23586,92.10173797607422
23660,92.91810607910156
23670,93.1592788696289
23672,92.17332458496094
23675,94.32432556152344
23678,97.93953704833984
23686,96.47294616699219
23807,97.87041473388672
23855,97.46192932128906
25001,70.15706634521484
25019,84.2200698852539
25035,87.34037017822266
25040,91.51898956298828
25053,86.3253402709961
25086,93.76299285888672
25095,91.60401153564453
25099,52.24238204956055
25120,96.58059692382812
25123,91.84361267089844
25126,55.37946701049805
25148,97.42560577392578
25151,86.68218994140625
25154,96.65379333496094
25168,94.61805725097656
25175,51.62009048461914
25178,94.23728942871094
25181,91.63695526123047
25183,85.21708679199219
25200,60.25933074951172
25214,66.92924499511719
25224,74.61283111572266
25245,90.16129302978516
25258,96.324951171875
25260,46.50143051147461
25269,48.03084182739258
25279,86.59459686279297
25281,93.39019012451172
25286,48.3956184387207
25288,89.52771759033203
25290,86.15962982177734
25293,87.5268783569336
25295,48.21382141113281
25297,89.1312026977539
25299,96.61016845703125
25307,79.06871032714844
25312,90.51383209228516
25317,86.1043930053711
25320,90.22303009033203
25322,64.16626739501953
25324,96.50959777832031
25326,80.09352111816406
25328,90.67163848876953
25335,94.16314697265625
25339,90.84051513671875
25368,93.6454849243164
25372,91.74208068847656
25377,69.07416534423828
25386,84.05967712402344
25394,91.74159240722656
25398,96.78284454345703
25402,88.20004272460938
25407,90.73013305664062
25426,90.136474609375
25430,41.245445251464844
25436,91.3001937866211
25438,93.91534423828125
25473,47.471797943115234
25483,93.3985366821289
25486,66.17906951904297
25488,77.561279296875
25489,91.68877410888672
25491,90.2267837524414
25506,95.63037109375
25513,88.14881896972656
25518,95.76822662353516
25524,92.29012298583984
25530,91.1120834350586
25535,96.50735473632812
25572,76.47058868408203
25580,95.4708023071289
25592,95.10984802246094
25594,92.7966079711914
25596,96.30238342285156
25599,89.90228271484375
25612,82.50222778320312
25645,89.49754333496094
25649,93.18252563476562
25653,95.47618865966797
25658,84.4332504272461
25662,91.0247573852539
25718,79.2899398803711
25736,59.02289962768555
25740,68.79991149902344
25743,92.24982452392578
25745,83.38136291503906
25754,66.97560119628906
25758,52.338253021240234
25769,78.52960205078125
25772,49.73066329956055
25777,95.59505462646484
25779,92.65286254882812
25781,58.26827621459961
25785,63.5761604309082
25793,73.34260559082031
25797,89.31129455566406
25799,58.32558059692383
25805,92.93478393554688
25807,93.36157989501953
25815,87.29209899902344
25817,42.858680725097656
25823,95.89614868164062
25839,89.38934326171875
25841,95.57276916503906
25843,76.71385955810547
25845,94.6133804321289
25851,93.67296600341797
25862,95.48245239257812
25867,95.4585952758789
25871,92.84552764892578
25873,92.43286895751953
25875,84.83780670166016
25878,93.80154418945312
25885,95.38494873046875
25898,79.69924926757812
25899,54.8686408996582
27001,83.6584701538086
27006,92.75997924804688
27025,98.62090301513672
27050,91.66666412353516
27073,81.94805145263672
27075,87.89473724365234
27077,97.20819854736328
27086,98.64022827148438
