codigo,anno,MERF_resultados_repro
20621,2011,91.99991756041197
20770,2011,81.69893039735308
20787,2011,90.90233170592165
23001,2011,76.15663898644539
23068,2011,82.98256585945217
23162,2011,86.77111351312489
23168,2011,93.05998098271162
23182,2011,93.05046176208008
23189,2011,91.86132959509574
23300,2011,92.26123301546592
23417,2011,89.86572804292271
23419,2011,92.21364190027474
23466,2011,78.0816730201807
23500,2011,93.31229140890535
23555,2011,86.77623201115402
23660,2011,91.0404474120124
23670,2011,94.70946301785175
23672,2011,89.05673289675151
23675,2011,92.09166701608434
23807,2011,92.51447106006076
23855,2011,94.60761600673285
25035,2011,74.72366688131791
25040,2011,83.40126268686203
25126,2011,49.471121214574644
25175,2011,48.37581126302902
25178,2011,90.44006720069761
25183,2011,76.99764231037193
25260,2011,59.580802469738884
25269,2011,50.59906563185642
25286,2011,54.16024383161049
25290,2011,73.31579476264059
25307,2011,74.10558446262633
25322,2011,71.6753590846921
25386,2011,74.60042480937386
25398,2011,89.60531134915904
25426,2011,94.57361475326452
25430,2011,53.36999118276235
25436,2011,83.30672855161667
25473,2011,49.19068471375574
25489,2011,89.1989080855605
25592,2011,89.27075528559904
25599,2011,82.46548285055067
25662,2011,87.462376026389
25740,2011,65.06667878194875
25743,2011,87.96354258164295
25754,2011,57.36265118957734
25785,2011,60.89161185296131
25807,2011,76.32593633255524
25845,2011,89.2782553025572
25875,2011,76.04893057145104
25899,2011,55.01684823781301
27001,2011,81.02009166992234
27025,2011,87.88162127907674
27073,2011,94.0189905012029
27075,2011,90.04331568513358
27077,2011,92.04719321229057
27245,2011,84.30096501125642
27361,2011,90.17146358290073
27372,2011,86.8460216766232
27425,2011,91.73971655067989
27450,2011,94.9644037779742
27495,2011,90.54696621512598
27600,2011,90.58698662681431
27615,2011,92.33930230736405
27787,2011,90.20482145658295
27800,2011,85.83938572543474
27810,2011,87.87318886531945
41001,2011,65.67732332797361
41013,2011,88.22957018848822
41016,2011,85.55974614215161
41078,2011,92.37569952503068
41244,2011,88.41259264503398
41298,2011,84.12255401375369
41306,2011,89.31287881249729
41396,2011,88.16579822157699
41524,2011,85.48246254515855
41551,2011,84.41838074706384
41660,2011,94.25067265358348
41668,2011,93.77064827637427
41872,2011,91.81362464738127
44001,2011,79.87255974251407
44078,2011,82.4099176553973
44090,2011,91.21137505395531
44110,2011,94.45200475688522
44378,2011,84.54584099806563
44430,2011,89.22744347838015
44560,2011,89.32669280251895
44650,2011,88.53133118038487
44847,2011,85.02601254441187
44874,2011,90.3526500985771
47001,2011,71.84069164633765
47053,2011,81.38842076316413
47058,2011,91.97321259763868
47189,2011,83.6189862571572
47205,2011,95.81991095660887
47245,2011,92.80720467770679
47288,2011,85.51092389352517
47570,2011,92.26747625873207
47660,2011,94.38901603215493
47692,2011,91.21581278187554
47980,2011,82.79040959987476
50001,2011,67.3120418060853
50006,2011,70.30844810844066
50150,2011,68.42655780667738
50287,2011,88.74495504845873
50313,2011,82.10891288151193
50318,2011,80.17675575291834
50325,2011,89.32017752183143
50330,2011,88.9366163546416
50370,2011,87.77403403271654
50450,2011,92.63956446433093
50573,2011,82.03931808734681
50590,2011,93.6671299902174
50680,2011,66.42695791627743
50683,2011,89.45410854056884
50689,2011,79.20710245856239
52001,2011,70.61885304884873
52019,2011,87.56677783701777
52036,2011,93.00095282737333
52051,2011,96.05970845465772
52207,2011,92.17987506655679
52210,2011,86.32385362113585
52227,2011,93.97440678828872
52233,2011,90.21525116836864
52250,2011,93.0299714931633
52254,2011,92.37246483164435
52260,2011,93.87418845848038
52287,2011,95.22536750420728
52356,2011,82.57143289007301
52378,2011,91.04430163153644
52390,2011,91.68308115951038
52399,2011,91.41027421186567
52418,2011,94.64408219215939
52435,2011,96.78983995508753
52473,2011,91.00523288588361
52540,2011,95.09376255521009
52560,2011,93.56387966028744
52565,2011,89.54166670241035
52573,2011,91.42973224123978
52612,2011,90.35034039574127
52678,2011,93.60127970515023
52685,2011,93.45288996301964
52687,2011,92.42041489615549
52835,2011,83.17432224643943
52838,2011,90.67518760791386
54001,2011,72.22780271815472
54003,2011,93.94719493917911
54109,2011,95.39681589649969
54128,2011,92.00787000675278
54174,2011,92.57177985472558
54239,2011,86.30326273172827
54245,2011,90.84375110134307
54261,2011,83.68481281948802
54385,2011,92.69366282845911
54405,2011,71.91450319352094
54418,2011,89.61883383553365
54498,2011,82.56977378986201
54518,2011,78.04556584307201
54660,2011,86.66896932020428
54670,2011,95.92274162517238
54673,2011,71.42899021093376
54680,2011,91.42100726205005
54800,2011,95.12728236472763
54810,2011,80.45550680933427
54820,2011,85.04441200703134
54874,2011,77.81757427640134
63001,2011,63.62454744540022
63130,2011,74.91382627279374
63190,2011,78.32671915958409
63302,2011,86.08518985375792
63401,2011,73.259291116202
63470,2011,79.00084044765597
63548,2011,84.90919715487664
