codigo,anno,fharcsin_est_repro,Low_repro,Up_repro,gamma,sampled
5282,2011,77.8316257558273,59.339678132337,96.32357337931761,0.9997066915981156,TRUE
5284,2011,88.5523829333595,87.30319978431649,89.8015660824025,0,FALSE
5306,2011,84.82356149453989,83.56567317447869,86.08144981460109,0,FALSE
5308,2011,50.88865945147798,29.00913074776231,72.76818815519364,0.9994294627570512,TRUE
5310,2011,80.53012526175667,79.34886533492381,81.71138518858952,0,FALSE
5313,2011,83.26852898358871,81.88361202394279,84.65344594323463,0,FALSE
5315,2011,84.1591885811303,83.2715148465839,85.04686231567669,0,FALSE
5318,2011,60.78507524265153,39.00741056773094,82.56273991757212,0.9997610045318732,TRUE
5321,2011,70.84314897182568,68.46194932116805,73.22434862248332,0,FALSE
5347,2011,88.73734094241512,87.9391294470161,89.53555243781413,0,FALSE
5353,2011,80.96346506265425,79.75952939361315,82.16740073169535,0,FALSE
5360,2011,42.32238244530897,19.35565273968888,65.28911215092906,0.9999163763728252,TRUE
5361,2011,86.58571077430562,73.43612951819804,99.7352920304132,0.9996738552143385,TRUE
5364,2011,85.55491151025149,84.81499026890701,86.29483275159596,0,FALSE
5368,2011,75.2835110496573,73.71290603413297,76.85411606518164,0,FALSE
5376,2011,59.8913910329083,57.24165945930118,62.54112260651542,0,FALSE
5380,2011,49.02170884653684,27.243683155677946,70.79973453739574,0.9995476590720834,TRUE
5390,2011,75.59952187339847,73.71050815952891,77.48853558726803,0,FALSE
5400,2011,72.47108862779731,70.9099744646404,74.03220279095423,0,FALSE
5411,2011,95.19480473338055,82.22707296808596,100,0.9996763112099981,TRUE
5425,2011,96.14601399804853,81.71791805048528,100,0.9996593912404165,TRUE
5440,2011,67.54212293205435,45.4142102376576,89.67003562645111,0.9996889986659084,TRUE
5467,2011,88.50040409184456,71.07944508476034,100,0.9993373128892112,TRUE
5475,2011,90.31177352538097,89.54966809419315,91.07387895656879,0,FALSE
5480,2011,79.78813392219777,70.63168779945602,88.94458004493953,0.9997254563087958,TRUE
5483,2011,88.3255252700842,86.53361348735866,90.11743705280973,0,FALSE
5490,2011,96.45444910644237,95.51163053245263,97.39726768043211,0,FALSE
5495,2011,92.21109546775828,91.46112504546139,92.96106589005518,0,FALSE
5501,2011,86.9105515554644,85.98624983841086,87.83485327251793,0,FALSE
5541,2011,82.90066829249419,81.9164406160235,83.88489596896488,0,FALSE
5543,2011,91.96166913602387,91.23926269849834,92.6840755735494,0,FALSE
5576,2011,84.48917577336213,83.43818613756974,85.54016540915453,0,FALSE
5579,2011,70.35460824109083,53.79716447869468,86.91205200348698,0.9997289957146425,TRUE
5585,2011,80.16555220451706,78.98824620882834,81.34285820020577,0,FALSE
