codigo,anno,coca_ha
68255,2011,60.0
68271,2011,0.0
68322,2011,0.0
68324,2011,0.0
68377,2011,77.0
68397,2011,0.0
68385,2011,34.0
68524,2011,0.0
68573,2011,16.0
68615,2011,51.0
68655,2011,0.0
68689,2011,0.0
68720,2011,35.0
68745,2011,10.0
68755,2011,0.0
68773,2011,86.0
68861,2011,19.0
76100,2011,52.0
76109,2011,842.0
76001,2011,0.0
76126,2011,73.0
76233,2011,14.0
76364,2011,0.0
76834,2011,0.0
97161,2011,100.0
97001,2011,111.0
97511,2011,60.0
97777,2011,1.0
97666,2011,5.0
97889,2011,0.0
99773,2011,2234.0
99524,2011,30.0
99624,2011,0.0
91263,2016,12.7
91405,2016,14.1
91407,2016,0.0
91430,2016,0.0
91460,2016,0.0
91530,2016,140.0
91536,2016,0.0
91669,2016,0.0
5031,2016,130.8
5040,2016,661.7
5045,2016,9.5
5055,2016,0.0
5107,2016,736.9
5120,2016,1131.3
5134,2016,130.3
5142,2016,0.0
5147,2016,0.0
5148,2016,0.0
5154,2016,5.9
5172,2016,10.4
5197,2016,0.0
5234,2016,0.0
5250,2016,446.3
5284,2016,0.0
5310,2016,0.0
5361,2016,305.2
5425,2016,0.0
5475,2016,0.0
5480,2016,0.0
5483,2016,0.0
5495,2016,360.9
5490,2016,0.0
5579,2016,0.0
5585,2016,0.0
5591,2016,0.0
5604,2016,10.4
5628,2016,0.0
5649,2016,1.8
5652,2016,15.5
5660,2016,8.2
5665,2016,4.6
5667,2016,0.0
5670,2016,0.0
5686,2016,0.0
5736,2016,143.9
5756,2016,2.3
5790,2016,2797.3
5819,2016,0.0
5837,2016,98.0
5842,2016,0.0
5847,2016,0.0
5854,2016,1620.8
5858,2016,0.0
5873,2016,0.0
5885,2016,17.7
5887,2016,40.0
5890,2016,4.7
5893,2016,0.0
5895,2016,160.9
81065,2016,6.3
81300,2016,0.0
81591,2016,0.0
81736,2016,0.0
81794,2016,2.6
13006,2016,9.1
13030,2016,0.0
13042,2016,18.7
13074,2016,0.0
13160,2016,398.5
13268,2016,0.0
13458,2016,522.1
13473,2016,167.7
13490,2016,15.8
13600,2016,8.2
13655,2016,136.1
13667,2016,0.0
13670,2016,1255.5
54820,2016,0.0
13688,2016,968.4
13744,2016,508.1
13810,2016,86.2
15212,2016,0.0
15223,2016,0.0
15401,2016,0.0
15442,2016,0.0
15480,2016,0.0
15507,2016,0.0
15531,2016,0.0
15572,2016,15.0
15580,2016,0.0
15681,2016,0.0
15696,2016,0.0
15832,2016,0.0
17433,2016,0.0
17495,2016,0.0
17541,2016,0.0
17662,2016,0.0
17867,2016,0.0
18029,2016,53.6
18094,2016,147.2
18150,2016,1188.0
18205,2016,368.2
18247,2016,552.8
18256,2016,415.9
18001,2016,98.4
18460,2016,1040.2
18410,2016,1743.7
18479,2016,0.0
18592,2016,545.8
18610,2016,1030.8
18753,2016,403.3
18756,2016,1577.3
18785,2016,34.6
18860,2016,143.5
19022,2016,0.0
19050,2016,1754.5
19075,2016,112.3
19100,2016,51.7
19110,2016,2.2
19130,2016,132.5
19137,2016,0.0
19142,2016,26.3
19212,2016,38.9
19256,2016,5300.3
19290,2016,0.0
19318,2016,525.8
19364,2016,0.0
19392,2016,0.0
19397,2016,0.0
